Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR235374	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1564510.0	pass	warn	pass	51.0	94.4803939451	ERR235374.fastq		pass
ERR235375	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1128633.0	pass	warn	pass	51.0	95.7976228721	ERR235375.fastq		pass
ERR235377	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1892011.0	pass	warn	pass	51.0	93.6999755531	ERR235377.fastq		pass
ERR235378	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1300666.0	pass	warn	pass	51.0	95.3681280337	ERR235378.fastq		pass
ERR235379	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1186972.0	pass	warn	pass	51.0	95.9280905882	ERR235379.fastq		pass
ERR235381	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1407181.0	pass	warn	pass	51.0	94.1694410822	ERR235381.fastq		pass
ERR235382	pass	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	673909.0	pass	pass	pass	51.0	97.4505862613	ERR235382.fastq		pass
ERR279186	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2470775.0	pass	pass	pass	52.0	93.1015176518	ERR279186.fastq		pass
SRR1645171	pass	0.0	pass	197.395534875	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1243683.0	pass	warn	pass	51.0	74.6015495921	SRR1645171.fastq		pass
SRR1645388	warn	0.0	pass	197.660782577	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1570223.0	pass	warn	pass	51.0	71.9210108063	SRR1645388.fastq		pass
SRR1645545	pass	0.0	pass	193.185524601	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1158089.0	pass	warn	pass	51.0	78.0785930666	SRR1645545.fastq		pass
SRR1645768	warn	0.0	warn	197.011854942	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	3828277.0	pass	warn	pass	51.0	55.7638391414	SRR1645768.fastq		pass
SRR1646227	warn	0.0	warn	196.939718788	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1793378.0	pass	warn	pass	51.0	67.1662146738	SRR1646227.fastq		pass
SRR1646230	pass	0.0	pass	196.781892247	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1690403.0	pass	warn	pass	51.0	70.1899273775	SRR1646230.fastq		pass
SRR1646238	fail	0.0	pass	197.446135775	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1270203.0	pass	warn	pass	51.0	75.135351807	SRR1646238.fastq		pass
SRR1958036	fail	0.0	pass	197.941738327	Sanger / Illumina 1.9	fail	pass	warn	101-200	Conventional base calls	pass	warn	1629785.0	pass	warn	pass	51.0	74.0362911122	SRR1958036.fastq		pass
SRR1958303	warn	0.0	warn	198.272426316	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	pass	1650193.0	pass	warn	pass	52.0	69.574058342	SRR1958303.fastq		pass
SRR1960363	warn	0.0	pass	197.66407241	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1478137.0	pass	warn	pass	52.0	75.2116023272	SRR1960363.fastq		pass
SRR1965263	fail	0.0	pass	193.851380845	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1034584.0	pass	warn	pass	51.0	80.7790071124	SRR1965263.fastq		pass
SRR1965387	fail	0.0	pass	194.827335071	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1131272.0	pass	fail	pass	51.0	76.0502860221	SRR1965387.fastq		pass
SRR1965662	pass	0.0	pass	185.540255204	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1114949.0	pass	warn	pass	51.0	78.5903953243	SRR1965662.fastq		pass
SRR1966023	fail	0.0	warn	195.475948334	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	2544751.0	pass	warn	pass	51.0	65.3604397221	SRR1966023.fastq		pass
SRR1966068	warn	0.0	warn	189.669421415	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	2047616.0	pass	warn	pass	51.0	68.4507352353	SRR1966068.fastq		pass
SRR1966408	warn	0.0	warn	189.387553929	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	2018870.0	pass	fail	pass	51.0	66.7810112446	SRR1966408.fastq		pass
SRR1966418	pass	0.0	pass	191.10163985	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1374943.0	pass	warn	pass	51.0	73.5353258699	SRR1966418.fastq		pass
SRR1966509	pass	0.0	pass	190.456800492	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1119191.0	pass	warn	pass	50.0	76.3971556508	SRR1966509.fastq		pass
SRR1966593	warn	0.0	pass	194.663175297	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1973151.0	pass	warn	pass	50.0	70.6301576488	SRR1966593.fastq		pass
SRR1966635	fail	0.0	pass	196.252655675	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1483521.0	pass	warn	pass	51.0	74.9734712726	SRR1966635.fastq		pass
SRR1966656	fail	0.0	pass	193.333054668	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	pass	1277520.0	pass	warn	pass	53.0	74.7149071027	SRR1966656.fastq		pass
SRR1967248	warn	0.0	pass	188.856301917	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	pass	1635074.0	pass	warn	pass	52.0	71.1898057823	SRR1967248.fastq		pass
SRR1967419	pass	0.0	pass	182.239125669	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1213270.0	pass	warn	pass	51.0	73.8066217599	SRR1967419.fastq		pass
SRR1967438	warn	0.0	warn	195.380544874	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1925179.0	pass	warn	pass	51.0	69.5111244536	SRR1967438.fastq		pass
SRR1967447	pass	0.0	warn	197.56023667	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	2104200.0	pass	warn	pass	52.0	66.6430303259	SRR1967447.fastq		pass
SRR1967883	warn	0.0	pass	189.561829992	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1737013.0	pass	warn	pass	51.0	74.0180446253	SRR1967883.fastq		pass
SRR1967938	warn	0.0	pass	197.199802964	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1514442.0	pass	warn	pass	51.0	72.2069051096	SRR1967938.fastq		pass
SRR1968052	pass	0.0	pass	195.689020138	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	850293.0	pass	fail	pass	52.0	80.5680437596	SRR1968052.fastq		pass
SRR1968061	warn	0.0	warn	196.761551312	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	2119651.0	pass	warn	pass	51.0	68.2688614566	SRR1968061.fastq		pass
SRR1968084	fail	0.0	warn	197.025701565	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1722113.0	pass	warn	pass	50.0	68.360636555	SRR1968084.fastq		pass
SRR1968221	warn	0.0	warn	196.840027195	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	2051880.0	pass	warn	pass	51.0	66.457461392	SRR1968221.fastq		pass
SRR1968269	pass	0.0	warn	197.286916981	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1847280.0	pass	warn	pass	51.0	68.6430922056	SRR1968269.fastq		pass
SRR1968363	fail	0.0	pass	193.178347728	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1387060.0	pass	warn	pass	50.0	75.4597666658	SRR1968363.fastq		pass
SRR1968962	warn	0.0	warn	195.583857158	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	2349388.0	pass	warn	pass	51.0	66.8221373723	SRR1968962.fastq		pass
SRR1969492	warn	0.0	warn	197.235903555	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1912468.0	pass	warn	pass	51.0	68.2656642781	SRR1969492.fastq		pass
SRR1969775	pass	0.0	pass	186.076786079	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1131403.0	pass	warn	pass	50.0	75.9393938039	SRR1969775.fastq		pass
SRR1969854	pass	0.0	pass	190.581886284	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1605336.0	pass	warn	pass	51.0	70.9533554074	SRR1969854.fastq		pass
SRR1969857	warn	0.0	pass	195.832235314	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	1735246.0	pass	warn	pass	51.0	71.368649032	SRR1969857.fastq		pass
SRR1970264	pass	0.0	pass	185.622356393	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	pass	1590015.0	pass	warn	pass	51.0	72.5814178118	SRR1970264.fastq		pass
SRR3048536	pass	0.0	pass	186.655089145	Sanger / Illumina 1.9	fail	pass	warn	100-200	Conventional base calls	pass	warn	1078354.0	pass	warn	pass	51.0	75.9604707075	SRR3048536.fastq		pass
SRR3048892	pass	0.0	pass	189.539612603	Sanger / Illumina 1.9	warn	pass	warn	100-200	Conventional base calls	pass	warn	761235.0	warn	warn	pass	50.0	89.0425231368	SRR3048892.fastq		pass
SRR3284779	pass	0.0	warn	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	2399420.0	pass	warn	pass	51.0	65.9320571311	SRR3284779.fastq		pass
SRR3285401	fail	0.0	warn	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1829464.0	pass	warn	pass	51.0	69.1746095155	SRR3285401.fastq		pass
SRR3285477	warn	0.0	warn	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	2080251.0	pass	warn	pass	51.0	66.9609824783	SRR3285477.fastq		pass
SRR3286620	fail	0.0	warn	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1667336.0	pass	fail	pass	51.0	68.1125509511	SRR3286620.fastq		pass
SRR3322345	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1390268.0	pass	fail	pass	52.0	71.8748404135	SRR3322345.fastq		pass
SRR3322379	warn	0.0	pass	200.0	Sanger / Illumina 1.9	warn	pass	pass	200.0	Conventional base calls	pass	warn	1640589.0	pass	warn	pass	52.0	70.3327521288	SRR3322379.fastq		pass
SRR3323011	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1741705.0	pass	warn	pass	51.0	71.1241670615	SRR3323011.fastq		pass
SRR3323046	pass	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1302564.0	pass	warn	pass	51.0	72.5986692131	SRR3323046.fastq		pass
SRR5193685	fail	0.0	pass	200.0	Sanger / Illumina 1.9	fail	pass	pass	200.0	Conventional base calls	pass	warn	1581659.0	pass	warn	pass	51.0	70.9680987586	SRR5193685.fastq		pass
