Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR023797	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	3281289.0	pass	warn	fail	52.0	70.6901451797	ERR023797.fastq	pass	pass
ERR023798	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	1471295.0	pass	fail	fail	53.0	74.9072957324	ERR023798.fastq	pass	pass
ERR023799	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	1457376.0	pass	fail	fail	53.0	78.6810364176	ERR023799.fastq	pass	pass
ERR023800	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	2092133.0	pass	fail	fail	52.0	76.8683790669	ERR023800.fastq	pass	pass
ERR023801	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	1339284.0	pass	fail	fail	53.0	72.3178053604	ERR023801.fastq	pass	pass
ERR023802	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	3380747.0	pass	fail	fail	53.0	63.7182633481	ERR023802.fastq	pass	pass
ERR023803	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	5323541.0	pass	fail	fail	53.0	63.6095575689	ERR023803.fastq	pass	pass
ERR023805	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	2358112.0	pass	fail	fail	52.0	57.6013919669	ERR023805.fastq	warn	pass
ERR023809	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2425815.0	pass	fail	fail	52.0	72.0906673458	ERR023809.fastq	warn	pass
ERR023810	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	fail	2581368.0	pass	warn	fail	52.0	71.3111274829	ERR023810.fastq	warn	pass
ERR023811	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	1539176.0	pass	fail	fail	53.0	71.6853171313	ERR023811.fastq	warn	pass
ERR023812	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	2209250.0	pass	fail	fail	53.0	67.3915284909	ERR023812.fastq	warn	pass
ERR024398	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	3404664.0	pass	fail	warn	53.0	80.8484970772	ERR024398.fastq	fail	pass
ERR024414	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	636922.0	pass	fail	warn	50.0	94.575431826	ERR024414.fastq	pass	pass
ERR024415	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	2442831.0	pass	warn	warn	52.0	86.7963856906	ERR024415.fastq	warn	pass
ERR024420	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2049282.0	pass	fail	warn	51.0	88.100133391	ERR024420.fastq	pass	pass
ERR024422	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	986433.0	pass	fail	warn	51.0	93.4623836103	ERR024422.fastq	pass	pass
ERR024423	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	1146498.0	pass	warn	warn	50.0	89.5245740093	ERR024423.fastq	pass	pass
ERR024424	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	2765861.0	pass	fail	warn	51.0	82.0474669754	ERR024424.fastq	pass	pass
ERR024765	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	1444596.0	pass	fail	warn	52.0	90.9838559771	ERR024765.fastq	fail	pass
ERR024766	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	2155020.0	pass	fail	fail	50.0	82.3590477325	ERR024766.fastq	fail	pass
ERR024767	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	915543.0	pass	warn	fail	51.0	78.5173700511	ERR024767.fastq	fail	pass
ERR024769	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	4075113.0	pass	fail	warn	51.0	78.6012160361	ERR024769.fastq	fail	pass
ERR024770	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2484487.0	pass	fail	warn	51.0	81.7376305293	ERR024770.fastq	fail	pass
ERR024772	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	997555.0	pass	fail	warn	51.0	93.0997392119	ERR024772.fastq	fail	pass
ERR024773	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	593541.0	pass	fail	fail	50.0	91.4513564186	ERR024773.fastq	fail	pass
ERR024774	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	1445586.0	pass	fail	warn	51.0	90.5181660596	ERR024774.fastq	fail	pass
ERR024775	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	1816202.0	pass	warn	warn	51.0	88.5021653989	ERR024775.fastq	fail	pass
ERR024778	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	4003256.0	pass	fail	warn	51.0	76.8027651671	ERR024778.fastq	warn	pass
ERR024779	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2864581.0	pass	fail	warn	50.0	79.856097988	ERR024779.fastq	warn	pass
ERR024780	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	3657961.0	pass	fail	warn	51.0	79.6571588054	ERR024780.fastq	warn	pass
ERR024782	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	4641013.0	pass	fail	warn	51.0	70.8080313446	ERR024782.fastq	warn	pass
ERR024783	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	737768.0	pass	warn	warn	51.0	91.2152097854	ERR024783.fastq	warn	pass
ERR024784	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	2128908.0	pass	fail	warn	50.0	78.0874307709	ERR024784.fastq	warn	pass
ERR024785	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	741282.0	pass	fail	fail	50.0	86.1379637919	ERR024785.fastq	warn	pass
ERR024786	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	warn	1018666.0	pass	fail	fail	50.0	78.9701531369	ERR024786.fastq	warn	pass
ERR024788	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	pass	pass	160.0	Conventional base calls	pass	pass	4485142.0	pass	warn	warn	50.0	76.6086136131	ERR024788.fastq	warn	pass
